Field,Label,Value
created,Created,2020-04-29T13:00:27.412678
description,Description,
format,File Format,Geoservice
download_url,Download URL,https://services.arcgis.com/5T5nSi527N4F7luB/ArcGIS/rest/services/COVID19_hist_cases_adm0_v5_view/FeatureServer/0
id,Resource ID,e1840a27-1c05-43b3-ad35-c5f886193b9c
last_modified,Updated,2025-07-03T01:02:21.311448
metadata_modified,Metadata Updated,2025-08-26T14:53:38.380468
microdata,Microdata,False
dataset_id,Dataset ID,93e35ea7-7d0c-427e-a2d5-aa72074e2050
resource_type,Resource Type,api
name,Resource Name,COVID-19 Historic cases by country (pt) v5
mimetype,MIME Type,
size,Size,0.0B
